UTC,RR_afdeling1_Q,RR_afdeling2_Q,RR_afdeling3_Q,RR_afdeling4_Q,IJsselmeer_H,Waddenzee_H,energy_price
2015-03-05 00:00:00,7.58,3,25,18,-0.668,-0.618,1
2015-03-05 01:00:00,7.58,3,25,18,-0.668,-0.073,1
2015-03-05 02:00:00,7.58,3,25,18,-0.668,0.088,1
2015-03-05 03:00:00,7.58,3,25,18,-0.668,0.123,1
2015-03-05 04:00:00,7.58,3,25,18,-0.668,0.125,1
2015-03-05 05:00:00,7.58,3,25,18,-0.668,-0.012,1
2015-03-05 06:00:00,7.58,3,25,18,-0.668,-0.183,1
2015-03-05 07:00:00,7.58,3,25,18,-0.668,-0.393,1
2015-03-05 08:00:00,7.58,3,25,18,-0.668,-0.626,1
2015-03-05 09:00:00,7.58,3,25,18,-0.668,-0.734,1
2015-03-05 10:00:00,7.58,3,25,18,-0.668,-0.889,1
2015-03-05 11:00:00,7.58,3,25,18,-0.668,-0.942,1
2015-03-05 12:00:00,7.58,3,25,18,-0.668,-0.747,1
2015-03-05 13:00:00,7.58,3,25,18,-0.668,-0.344,1
2015-03-05 14:00:00,7.58,3,25,18,-0.668,-0.137,1
2015-03-05 15:00:00,7.58,3,25,18,-0.668,-0.022,1
2015-03-05 16:00:00,7.58,3,25,18,-0.668,0.046,1
2015-03-05 17:00:00,7.58,3,25,18,-0.668,0.088,1
2015-03-05 18:00:00,7.58,3,25,18,-0.668,0.007,1
2015-03-05 19:00:00,7.58,3,25,18,-0.668,-0.173,1
2015-03-05 20:00:00,7.58,3,25,18,-0.668,-0.434,1
2015-03-05 21:00:00,7.58,3,25,18,-0.668,-0.655,1
2015-03-05 22:00:00,7.58,3,25,18,-0.668,-0.748,1
2015-03-05 23:00:00,7.58,3,25,18,-0.668,-0.854,1
